name,temperature,feels_like,humidity,wind,wind_gust,dew_point,wind_direction,pressure_relative,pressure_absolute,uvi,created_at
"SCLE - Ciupac",15.4,15.4,87,9.3,8.1,15.4,ENE,1012.4,1018.2,0,"2023-10-21 02:29:06"
"MDA - Ciupac",15,15,87,5.8,5.8,15,E,1014.1,1017.5,0,"2023-10-21 02:29:07"
"CN - Ciupac",13.6,13.6,91,2.9,3.4,13.6,NNW,1008.7,1018.2,0,"2023-10-21 02:29:08"
"BHI - Ciupac",19.8,19.8,54,8.2,5.8,19.8,NE,1010.7,1010,0,"2023-10-21 02:29:09"
"GAVIOTAS - Ciupac",14.4,14.4,89,7.2,5.8,14.4,NE,1012.1,1017.8,0,"2023-10-21 02:29:10"
"Monte hermoson 2",15.4,15.4,87,9.3,8.1,15.4,ENE,1012.4,1018.2,0,"2023-10-21 02:30:01"
"STE - Ciupac",15.3,15.3,88,2.6,5.8,15.3,NNE,1008.4,1018.2,0,"2023-10-21 02:30:02"
"SCLE - Ciupac",15.4,15.4,87,9.3,8.1,15.4,ENE,1012.4,1018.2,0,"2023-10-21 02:30:03"
"MDA - Ciupac",15,15,87,7.9,6.9,15,NE,1013.8,1017.2,0,"2023-10-21 02:30:04"
"CN - Ciupac",13.6,13.6,91,2.6,2.2,13.6,NNW,1008.4,1017.8,0,"2023-10-21 02:30:05"
"BHI - Ciupac",19.8,19.8,55,9.7,9.2,19.8,NNE,1010.7,1009.7,0,"2023-10-21 02:30:06"
"GAVIOTAS - Ciupac",14.4,14.4,89,6.9,8.1,14.4,E,1012.1,1017.8,0,"2023-10-21 02:30:07"
"Monte hermoson 2",15.4,15.4,87,2.9,3.4,15.4,NE,1012.4,1018.2,0,"2023-10-21 02:31:02"
"STE - Ciupac",15.3,15.3,88,2.6,5.8,15.3,NNE,1008.4,1018.2,0,"2023-10-21 02:31:03"
"SCLE - Ciupac",15.4,15.4,87,2.9,3.4,15.4,NE,1012.4,1018.2,0,"2023-10-21 02:31:03"
"MDA - Ciupac",15,15,87,3.2,3.4,15,ENE,1013.8,1017.2,0,"2023-10-21 02:31:04"
"CN - Ciupac",13.6,13.6,91,2.9,2.2,13.6,W,1008.7,1018.2,0,"2023-10-21 02:31:05"
"BHI - Ciupac",19.8,19.8,55,11.6,9.2,19.8,NE,1011.1,1010,0,"2023-10-21 02:31:06"
"GAVIOTAS - Ciupac",14.4,14.4,89,12.2,9.2,14.4,NE,1012.1,1017.8,0,"2023-10-21 02:31:07"
"Monte hermoson 2",15.4,15.4,87,9,9.2,15.4,ENE,1012.4,1018.2,0,"2023-10-21 02:32:02"
"STE - Ciupac",15.3,15.3,88,2.6,5.8,15.3,NNE,1008.4,1018.2,0,"2023-10-21 02:32:03"
"SCLE - Ciupac",15.4,15.4,87,9,9.2,15.4,ENE,1012.4,1018.2,0,"2023-10-21 02:32:04"
"MDA - Ciupac",15,15,87,3.5,3.4,15,ENE,1014.1,1017.5,0,"2023-10-21 02:32:05"
"CN - Ciupac",13.6,13.6,91,2.9,2.2,13.6,W,1008.7,1018.2,0,"2023-10-21 02:32:06"
"BHI - Ciupac",19.8,19.8,55,11.1,10.3,19.8,ESE,1010.7,1010,0,"2023-10-21 02:32:07"
"GAVIOTAS - Ciupac",14.4,14.4,89,7.9,6.9,14.4,ENE,1011.7,1017.5,0,"2023-10-21 02:32:07"
"Monte hermoson 2",15.4,15.4,87,5.5,4.5,15.4,ENE,1012.4,1018.5,0,"2023-10-21 02:33:02"
"STE - Ciupac",15.3,15.3,88,2.6,2.2,15.3,NNE,1008,1018.2,0,"2023-10-21 02:33:03"
"SCLE - Ciupac",15.4,15.4,87,5.5,4.5,15.4,ENE,1012.4,1018.5,0,"2023-10-21 02:33:04"
"MDA - Ciupac",15,15,87,7.6,6.9,15,NE,1014.1,1017.5,0,"2023-10-21 02:33:05"
"CN - Ciupac",13.5,13.5,91,3.5,2.2,13.5,NNW,1008.7,1018.2,0,"2023-10-21 02:33:06"
